sTreeTitle,sLanguage,gLOID,sLOTitle
קוראים,he,6584F4C7-9002-432E-9B7B-038BBACCA462,אֶנְרִי רוּסוֹ - יחידת הדגמה
קוראים,he,35DBA1F3-D4C3-4021-9CA9-CA60CD6CDFC4,"גָנְדִי - ""האבא של הודו"""
קוראים,he,B2CC4A72-CEF8-4E1F-B6B1-F0983C2F38C5,על המשקפיים
קוראים,he,6306A35A-7A40-4CE1-86AA-DBD7A28FCCE4,יוגה
קוראים,he,438F70FD-839B-40B2-B406-D193240BE279,מכוניות ללא נהג
קוראים,he,8E1F6CB7-B02A-4813-BC43-84F420A3244C,ילדה אחת יכולה לשנות את העולם?
קוראים,he,3259471C-6966-4E2A-AF2F-B197235B3253,כריסטופר קולומבוס
קוראים,he,4C55A978-1B55-444A-95F6-5EDCE757C4AD,אמיליה ארהרט
קוראים,he,6F769E01-314E-4CD1-A78E-F2EF69BBCDF8,מרטין לותר קינג
קוראים,he,335B8990-5B3D-4ABC-9841-707874BC9848,לומדים מפרח לנקות חלליות
קוראים,he,B0D3223D-057E-4C81-9E25-8EE7A94F7839,האם אנחנו מאבדים את הפרטיות?
קוראים,he,583E5D06-49DF-4226-B9C1-067C7C4C8BB8,אמת או שקר?
קוראים,he,3DAA8570-ED8B-4201-860C-AE5C399E33CB,המצאת הגלגל
קוראים,he,FE9104D8-3C53-46E8-B284-31E165BB8EA3,ונציה - עיר על המים
קוראים,he,B40AF22D-E121-4352-911A-C98F5A95C24E,וגר זאב עם כבש
קוראים,he,AF9A02B7-6808-410B-9B72-82B7329244F9,על תאים
קוראים,he,7559D498-47A3-4879-A36F-3510E5D6F0C4,חיות בשירות החקלאות
קוראים,he,597C2037-2B1D-4FA8-80D0-EBC20B9333F8,רובוט
קוראים,he,965C8759-4762-4CD4-9DED-835E5E4B2A9D,רובוטים בחלל
קוראים,he,021D9C6E-57FD-4DB2-B724-99724D6247BE,האינטרנט של הדברים
קוראים,he,CE13C79F-085A-4B3C-BE49-67468B7620E9,מדפסת תלת-ממד
שברים,he,D2F36130-B066-48FD-B9BC-3A60F7F1D367,שברים במילים (שלישים ושישיות) - 1 
שברים,he,F732D75D-9372-4DE2-B828-966270BDC06A,שברים במילים (שלישים ושישיות) - 2
שברים,he,D9696263-7E0A-4D64-AF86-F88A307A7B0C,שברים במילים (שלישים ושישיות) - 3
שברים,he,C977B3CC-7848-4EE8-92F3-783E26942F0D,שברים במילים (שלישים ושישיות) - 4
שברים,he,A85DD01E-9704-4BAE-9BE7-C4F3A2AF6DFC,שברים במילים (שלישים ושישיות) - 5
שברים,he,76B34B43-108E-49B4-8543-6E4D3C99A5C3,שברים במילים (שלישים ושישיות) - 6
שברים,he,69CF5C5F-89AC-498D-926E-ACF8EDB2C9C5,שברים במילים (שלישים ושישיות) - 7
שברים,he,402DB1EF-499C-4BE5-BA8B-0E38BE30331A,שברים במילים (שלישים ושישיות) - 8
שברים,he,5E138DA7-E71A-47AB-A111-52A3ECA8647B,שברים במילים (שלישים ושישיות) - 9
שברים,he,AFF88038-3CA6-4F1F-BDD4-C17C2B2030F0,שברים במילים (שלישים ושישיות) - 10
שברים,he,137B0823-8125-44DA-AA45-40513B8A31F2,שברים במילים (שלישים ושישיות) - 11
שברים,he,B414C013-FA18-4B81-86CC-9D8202EBB7E8,שברים במילים (שלישים ושישיות) - 12
שברים,he,53DC2ACE-4277-4B8F-BE2A-D6B19DC38DC3,שברים במילים (שלישים ושישיות) - 13
שברים,he,B75DF180-5120-4D9E-96D1-D17F20B51678,שברים במספרים (שלישים ושישיות) - 1
שברים,he,20C85513-01FD-43C7-98D0-F0102F7AB814,שברים במספרים (שלישים ושישיות) - 2
שברים,he,256236EB-39B4-4540-A56C-881B0765238F,שברים במספרים (שלישים ושישיות) - 3
שברים,he,E8E1354F-F82D-471E-9265-F52FFFCFDBA6,שברים במספרים (שלישים ושישיות) - 4
שברים,he,9862D25C-8204-466C-A819-D31332F67234,שברים במספרים (שלישים ושישיות) - 5
שברים,he,7F020087-B619-4B3B-B4C3-79419FFAAED6,שברים במספרים (שלישים ושישיות) - 6
שברים,he,03ABAAEC-C4B1-44BC-BE4B-2CBE8FD4B587,שברים במספרים (שלישים ושישיות) - 7
שברים,he,15D7C4EE-686B-41D6-8550-1579625D7DC9,שברים במספרים (שלישים ושישיות) - 8
שברים,he,66FE40EE-6474-44F6-A863-2A0675275F70,שברים במספרים (שלישים ושישיות) - 9
שברים,he,8323BD1C-B7D8-454F-96AD-C3C9F86C5420,שברים ומספרים מעורבים - חזרה והעמקה 1
שברים,he,18F86CC8-5F11-48EE-BB4D-68AA4647D526,שברים ומספרים מעורבים - חזרה והעמקה 2
שברים,he,CF862663-97A6-4B50-925A-2A84C9ED133A,שברים ומספרים מעורבים - חזרה והעמקה 3
שברים,he,61A26C71-DE1B-48EC-8632-FA72E9EAE41D,שברים ומספרים מעורבים - חזרה והעמקה 4
שברים,he,3BA4EAE0-9450-4C92-AB7F-1480BA97DD15,שברים ומספרים מעורבים - חזרה והעמקה 5
