gLOID,sTreeTitle,sLanguage,sLOTitle,LO_subject_index,LO_subsubject_index,LO_general_index,LO_combined_index
D2F36130-B066-48FD-B9BC-3A60F7F1D367,?????,he,????? ?????? (?????? ???????) - 1 ,1,1,1,"""(1,1)"""
F732D75D-9372-4DE2-B828-966270BDC06A,?????,he,????? ?????? (?????? ???????) - 2,1,2,2,"""(1,2)"""
D9696263-7E0A-4D64-AF86-F88A307A7B0C,?????,he,????? ?????? (?????? ???????) - 3,1,3,3,"""(1,3)"""
C977B3CC-7848-4EE8-92F3-783E26942F0D,?????,he,????? ?????? (?????? ???????) - 4,1,4,4,"""(1,4)"""
A85DD01E-9704-4BAE-9BE7-C4F3A2AF6DFC,?????,he,????? ?????? (?????? ???????) - 5,1,5,5,"""(1,5)"""
76B34B43-108E-49B4-8543-6E4D3C99A5C3,?????,he,????? ?????? (?????? ???????) - 6,1,6,6,"""(1,6)"""
69CF5C5F-89AC-498D-926E-ACF8EDB2C9C5,?????,he,????? ?????? (?????? ???????) - 7,1,7,7,"""(1,7)"""
402DB1EF-499C-4BE5-BA8B-0E38BE30331A,?????,he,????? ?????? (?????? ???????) - 8,1,8,8,"""(1,8)"""
5E138DA7-E71A-47AB-A111-52A3ECA8647B,?????,he,????? ?????? (?????? ???????) - 9,1,9,9,"""(1,9)"""
AFF88038-3CA6-4F1F-BDD4-C17C2B2030F0,?????,he,????? ?????? (?????? ???????) - 10,1,10,10,"""(1,10)"""
137B0823-8125-44DA-AA45-40513B8A31F2,?????,he,????? ?????? (?????? ???????) - 11,1,11,11,"""(1,11)"""
B414C013-FA18-4B81-86CC-9D8202EBB7E8,?????,he,????? ?????? (?????? ???????) - 12,1,12,12,"""(1,12)"""
53DC2ACE-4277-4B8F-BE2A-D6B19DC38DC3,?????,he,????? ?????? (?????? ???????) - 13,1,13,13,"""(1,13)"""
B75DF180-5120-4D9E-96D1-D17F20B51678,?????,he,????? ??????? (?????? ???????) - 1,2,1,14,"""(2,1)"""
20C85513-01FD-43C7-98D0-F0102F7AB814,?????,he,????? ??????? (?????? ???????) - 2,2,2,15,"""(2,2)"""
256236EB-39B4-4540-A56C-881B0765238F,?????,he,????? ??????? (?????? ???????) - 3,2,3,16,"""(2,3)"""
E8E1354F-F82D-471E-9265-F52FFFCFDBA6,?????,he,????? ??????? (?????? ???????) - 4,2,4,17,"""(2,4)"""
9862D25C-8204-466C-A819-D31332F67234,?????,he,????? ??????? (?????? ???????) - 5,2,5,18,"""(2,5)"""
7F020087-B619-4B3B-B4C3-79419FFAAED6,?????,he,????? ??????? (?????? ???????) - 6,2,6,19,"""(2,6)"""
03ABAAEC-C4B1-44BC-BE4B-2CBE8FD4B587,?????,he,????? ??????? (?????? ???????) - 7,2,7,20,"""(2,7)"""
15D7C4EE-686B-41D6-8550-1579625D7DC9,?????,he,????? ??????? (?????? ???????) - 8,2,8,21,"""(2,8)"""
66FE40EE-6474-44F6-A863-2A0675275F70,?????,he,????? ??????? (?????? ???????) - 9,2,9,22,"""(2,9)"""
