,sTreeTitle,sLanguage,gLOID,sLOTitle,SubjectIndex,generalIndex,subSubjectIndex,general_index,subsubject_index,subject
0,?????,he,D2F36130-B066-48FD-B9BC-3A60F7F1D367,????? ?????? (?????? ???????) - 1 ,1.0,1.0,,0,1,????? ?????? (?????? ???????) -  
1,?????,he,F732D75D-9372-4DE2-B828-966270BDC06A,????? ?????? (?????? ???????) - 2,1.0,2.0,,1,2,????? ?????? (?????? ???????) - 
2,?????,he,D9696263-7E0A-4D64-AF86-F88A307A7B0C,????? ?????? (?????? ???????) - 3,1.0,3.0,,2,3,????? ?????? (?????? ???????) - 
3,?????,he,C977B3CC-7848-4EE8-92F3-783E26942F0D,????? ?????? (?????? ???????) - 4,1.0,4.0,,3,4,????? ?????? (?????? ???????) - 
4,?????,he,A85DD01E-9704-4BAE-9BE7-C4F3A2AF6DFC,????? ?????? (?????? ???????) - 5,1.0,5.0,,4,5,????? ?????? (?????? ???????) - 
5,?????,he,76B34B43-108E-49B4-8543-6E4D3C99A5C3,????? ?????? (?????? ???????) - 6,1.0,6.0,,5,6,????? ?????? (?????? ???????) - 
6,?????,he,69CF5C5F-89AC-498D-926E-ACF8EDB2C9C5,????? ?????? (?????? ???????) - 7,1.0,7.0,,6,7,????? ?????? (?????? ???????) - 
7,?????,he,402DB1EF-499C-4BE5-BA8B-0E38BE30331A,????? ?????? (?????? ???????) - 8,1.0,8.0,,7,8,????? ?????? (?????? ???????) - 
8,?????,he,5E138DA7-E71A-47AB-A111-52A3ECA8647B,????? ?????? (?????? ???????) - 9,1.0,9.0,,8,9,????? ?????? (?????? ???????) - 
9,?????,he,AFF88038-3CA6-4F1F-BDD4-C17C2B2030F0,????? ?????? (?????? ???????) - 10,1.0,10.0,,9,10,????? ?????? (?????? ???????) - 
10,?????,he,137B0823-8125-44DA-AA45-40513B8A31F2,????? ?????? (?????? ???????) - 11,1.0,11.0,,10,11,????? ?????? (?????? ???????) - 
11,?????,he,B414C013-FA18-4B81-86CC-9D8202EBB7E8,????? ?????? (?????? ???????) - 12,1.0,12.0,,11,12,????? ?????? (?????? ???????) - 
12,?????,he,53DC2ACE-4277-4B8F-BE2A-D6B19DC38DC3,????? ?????? (?????? ???????) - 13,1.0,13.0,,12,13,????? ?????? (?????? ???????) - 
13,?????,he,B75DF180-5120-4D9E-96D1-D17F20B51678,????? ??????? (?????? ???????) - 1,2.0,14.0,,13,1,????? ??????? (?????? ???????) - 
14,?????,he,20C85513-01FD-43C7-98D0-F0102F7AB814,????? ??????? (?????? ???????) - 2,2.0,15.0,,14,2,????? ??????? (?????? ???????) - 
15,?????,he,256236EB-39B4-4540-A56C-881B0765238F,????? ??????? (?????? ???????) - 3,2.0,16.0,,15,3,????? ??????? (?????? ???????) - 
16,?????,he,E8E1354F-F82D-471E-9265-F52FFFCFDBA6,????? ??????? (?????? ???????) - 4,2.0,17.0,,16,4,????? ??????? (?????? ???????) - 
