gQuestionID,sElementID,gLO,nVersion,sName,nQuestionIndex,sQuestionPageID,nLanguage,dtCreatedDate,sSyllabus,sLOurl,nPages,sQtype,sSubjects,sSubSubjects,sDetail,sGoals,sRepresentation,sActivityType
CC1D773B-4E78-4446-875C-00353EDCBE11,question_cc1d773b-4e78-4446-875c-00353edcbe11,965C8759-4762-4CD4-9DED-835E5E4B2A9D,28000,רובוטים בחלל,5,page_3,1,2017-04-27 03:17:15.000,NULL,http://lo.cet.ac.il/player/?document=965c8759-4762-4cd4-9ded-835e5e4b2a9d&language=he&sitekey=ebag,NULL,multiChoice,הבנת הנקרא של טקסט עיוני,רמה 4,עתידנות,איתור מידע מפורש,אחרי הטקסט,שאלת הבנה
7AFE8960-7150-46BC-941F-00E21AE27AB7,question_7afe8960-7150-46bc-941f-00e21ae27ab7,6F769E01-314E-4CD1-A78E-F2EF69BBCDF8,35000,מרטין לותר קינג,6,page_3,1,2017-04-27 03:17:54.000,NULL,http://lo.cet.ac.il/player/?document=6f769e01-314e-4cd1-a78e-f2ef69bbcdf8&language=he&sitekey=ebag,NULL,multiChoice,הבנת הנקרא של טקסט עיוני,רמה 5,אישים,הסקה ישירה,אחרי הטקסט,שאלת הבנה
66B52979-C819-4F01-997D-0310AFF598E6,question_66b52979-c819-4f01-997d-0310aff598e6,965C8759-4762-4CD4-9DED-835E5E4B2A9D,28000,רובוטים בחלל,1,page_3,1,2017-04-27 03:17:15.000,NULL,http://lo.cet.ac.il/player/?document=965c8759-4762-4cd4-9ded-835e5e4b2a9d&language=he&sitekey=ebag,NULL,multiChoice,הבנת הנקרא של טקסט עיוני,רמה 4,עתידנות,איתור מידע מפורש,אחרי הטקסט,שאלת הבנה
F10070FD-4CF8-46E6-A2A9-04B17BE5D946,question_f10070fd-4cf8-46e6-a2a9-04b17be5d946,35DBA1F3-D4C3-4021-9CA9-CA60CD6CDFC4,65000,גָנְדִי - "האבא של הודו",8,page_3,1,2017-04-27 03:08:44.000,NULL,http://lo.cet.ac.il/player/?document=35dba1f3-d4c3-4021-9ca9-ca60cd6cdfc4&language=he&sitekey=ebag,NULL,multiChoice,הבנת הנקרא של טקסט עיוני,רמה 1,אישים,בחינה והערכה,אחרי הטקסט,שאלה רפלקטיבית
8728FC92-D0D3-404E-ABC4-0489A1BDFE7B,question_8728fc92-d0d3-404e-abc4-0489a1bdfe7b,335B8990-5B3D-4ABC-9841-707874BC9848,32000,לומדים מפרח לנקות חלליות,7,page_3,1,2017-04-27 03:18:26.000,NULL,http://lo.cet.ac.il/player/?document=335b8990-5b3d-4abc-9841-707874bc9848&language=he&sitekey=ebag,NULL,multiChoice,הבנת הנקרא של טקסט עיוני,רמה 5,המצאות,הערכה וביקורת על תהליך הקריאה,אחרי הטקסט,שאלת הבנה
F10070FD-4CF8-46E6-A2A9-04B17BE5D946,question_f10070fd-4cf8-46e6-a2a9-04b17be5d946,35DBA1F3-D4C3-4021-9CA9-CA60CD6CDFC4,65000,גָנְדִי - "האבא של הודו",8,page_3,1,2017-04-27 03:08:44.000,NULL,http://lo.cet.ac.il/player/?document=35dba1f3-d4c3-4021-9ca9-ca60cd6cdfc4&language=he&sitekey=ebag,NULL,multiChoice,הבנת הנקרא של טקסט עיוני,רמה 1,אישים,הערכה וביקורת על תהליך הקריאה,אחרי הטקסט,שאלה רפלקטיבית
F815FDBA-A723-443B-98D6-0535C0E6F5B9,question_f815fdba-a723-443b-98d6-0535c0e6f5b9,6306A35A-7A40-4CE1-86AA-DBD7A28FCCE4,78000,יוגה,0,page_3,1,2017-04-27 03:09:56.000,NULL,http://lo.cet.ac.il/player/?document=6306a35a-7a40-4ce1-86aa-dbd7a28fcce4&language=he&sitekey=ebag,NULL,multiChoice,הבנת הנקרא של טקסט עיוני,רמה 1,אדם וטבע,איתור מידע מפורש,אחרי הטקסט,שאלת הבנה
7BC0831F-BEA8-49BF-918C-0788E16012F6,question_7bc0831f-bea8-49bf-918c-0788e16012f6,B40AF22D-E121-4352-911A-C98F5A95C24E,43001,וגר זאב עם כבש,9,page_3,1,2017-04-27 03:14:39.000,NULL,http://lo.cet.ac.il/player/?document=b40af22d-e121-4352-911a-c98f5a95c24e&language=he&sitekey=ebag,NULL,cloze_dropdown,הבנת הנקרא של טקסט עיוני,רמה 3,אדם וטבע,בחינה והערכה,אחרי הטקסט,שאלת הבנה
4AA057D8-3C9C-4E98-9C6A-08017790DE01,question_4aa057d8-3c9c-4e98-9c6a-08017790de01,2CD984CC-7D53-445C-B1D0-DA81B47756CE,8002,אמונות טפלות,5,page_2,1,2017-05-03 02:19:16.000,NULL,http://lo.cet.ac.il/player/?document=2cd984cc-7d53-445c-b1d0-da81b47756ce&language=he&sitekey=ebag,NULL,multiChoice,הבנת הנקרא של טקסט עיוני,רמה 3,אדם וטבע,הסקה ישירה,בתוך הטקסט,שאלת הבנה
E4D007D4-6801-48E5-9935-0A1E8ACEF412,question_e4d007d4-6801-48e5-9935-0a1e8acef412,AF9A02B7-6808-410B-9B72-82B7329244F9,43001,על תאים,7,page_3,1,2017-04-27 03:16:47.000,NULL,http://lo.cet.ac.il/player/?document=af9a02b7-6808-410b-9b72-82b7329244f9&language=he&sitekey=ebag,NULL,multiChoice,הבנת הנקרא של טקסט עיוני,רמה 4,אדם וטבע,איתור מידע מפורש,אחרי הטקסט,שאלת הבנה
